id,lat,lng,costruttore,civico,comune,provincia,indirizzo,costruttore,gestore,
0,44.5202708,11.2943895999999,"Via Del Triumvirato",NULL,"Bologna (BO)",,"Bologna (BO)","Via Del Triumvirato","Giulio Barbieri Spa",NULL
1,44.5090092526173,11.3406603507874,"Via Aristotile Fioravanti",NULL,"Bologna (BO)",,"Bologna (BO)","Via Aristotile Fioravanti",NULL,Enel
2,44.355525,11.707358,"Viale Caterina Sforza",NULL,"Imola (BO)",,"Imola (BO)","Viale Caterina Sforza",NULL,Hera
3,44.5091594,11.3625823,"Viale Aldo Moro",NULL,"Bologna (BO)",,"Bologna (BO)","Viale Aldo Moro",NULL,NULL
4,44.356756,11.7180605,"Via Mentana",NULL,"Imola (BO)",,"Imola (BO)","Via Mentana",NULL,Hera
5,44.529,11.42039,"Via San Donato",NULL,"Quarto Inferiore (BO)",,"Quarto Inferiore (BO)","Via San Donato",NULL,Enel
6,44.359997,11.719758,"Piazza Alessandro Bianconcini",NULL,"Imola (BO)",,"Imola (BO)","Piazza Alessandro Bianconcini",NULL,Hera
7,44.347442,11.715598,"Via Amedeo Tabanelli",NULL,"Imola (BO)",,"Imola (BO)","Via Amedeo Tabanelli",NULL,Hera
8,44.357353,11.716578,"Via Aspromonte",NULL,"Imola (BO)",,"Imola (BO)","Via Aspromonte",NULL,Hera
9,44.362775,11.69051,"Via Belvedere",NULL,"Imola (BO)",,"Imola (BO)","Via Belvedere",NULL,Hera
10,44.3716726,11.7044098,"Via Casalegno",NULL,"Imola (BO)",,"Imola (BO)","Via Casalegno",NULL,Hera
11,44.372722,11.723088,"Via Ruggiero Grieco",NULL,"Imola (BO)",,"Imola (BO)","Via Ruggiero Grieco",NULL,Hera
12,44.356971,11.717129,"Viale Andrea Costa",NULL,"Imola (BO)",,"Imola (BO)","Viale Andrea Costa",NULL,Hera
13,44.3528337,11.7087493,"Viale Aurelio Saffi",NULL,"Imola (BO)",,"Imola (BO)","Viale Aurelio Saffi",NULL,Hera
14,44.361207,11.720232,"Via Cogne",NULL,"Imola (BO)",,"Imola (BO)","Via Cogne",NULL,Hera
15,44.359848,11.6930156999999,"Via Pola",NULL,"Imola (BO)",,"Imola (BO)","Via Pola",NULL,NULL
16,44.8053207,11.5848095,"Via Bologna",NULL,"Ferrara (FE)",,"Ferrara (FE)","Via Bologna",NULL,NULL
17,44.6484037,10.9284772999999,"Piazza Roma",NULL,"Modena (MO)",,"Modena (MO)","Piazza Roma",NULL,Hera
18,44.6571494,10.9290874000001,"Via Manfredo Fanti",NULL,"Modena (MO)",,"Modena (MO)","Via Manfredo Fanti",NULL,Hera
19,44.6503658,10.9234901,"Parco Novi Sad",NULL,"Modena (MO)",,"Modena (MO)","Parco Novi Sad",NULL,Hera
20,44.6482598,10.8616728,"Via Emilia Ovest",NULL,"Modena (MO)",,"Modena (MO)","Via Emilia Ovest",NULL,Hera
21,44.6515166,10.9415203,"Viale Ciro Medettagliti",NULL,"Modena (MO)",,"Modena (MO)","Viale Ciro Medettagliti",NULL,Hera
22,44.6349256,10.9309614,"Piazza Alessandro Manzoni",NULL,"Modena (MO)",,"Modena (MO)","Piazza Alessandro Manzoni",NULL,NULL
23,44.6380183992928,10.9420368687867,"Via Del Pozzo",NULL,"Modena (MO)",,"Modena (MO)","Via Del Pozzo",NULL,NULL
24,44.6305372,10.9505701,"Via Glauco Gottardi",NULL,"Modena (MO)",,"Modena (MO)","Via Glauco Gottardi",NULL,Hera
25,44.6445331,10.9549736,"Viale Dello Sport",NULL,"Modena (MO)",,"Modena (MO)","Viale Dello Sport",NULL,Hera
26,44.6583228,10.9164322,"Via Cesare Razzaboni",NULL,"Modena (MO)",,"Modena (MO)","Via Cesare Razzaboni",NULL,Hera
27,44.6362495,10.9393095,"Viale Marzabotto",NULL,"Modena (MO)",,"Modena (MO)","Viale Marzabotto",NULL,Hera
28,44.6362495,10.9393095,"Viale Marzabotto",NULL,"Modena (MO)",,"Modena (MO)","Viale Marzabotto",NULL,Hera
29,44.6488317,10.920205,"Viale Berengario Jacopo",NULL,"Modena (MO)",,"Modena (MO)","Viale Berengario Jacopo",NULL,Hera
30,44.6538425,10.9310661,"Piazza Dante Alighieri",NULL,"Modena (MO)",,"Modena (MO)","Piazza Dante Alighieri",NULL,NULL
31,45.0539077,9.69528279999997,"Via Camillo Cavour",NULL,"Piacenza (PC)",,"Piacenza (PC)","Via Camillo Cavour",NULL,Enel
32,45.0540261,9.69545900000003,"Via Camillo Benso Cavour",NULL,"Piacenza (PC)",,"Piacenza (PC)","Via Camillo Benso Cavour",NULL,Enel
33,45.044065,9.70427500000005,"Via C. Calciati",NULL,"Piacenza (PC)",,"Piacenza (PC)","Via C. Calciati",NULL,Enel
34,44.6974299,10.6363127,"Piazza Del Tricolore 73PX",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Piazza Del Tricolore 73PX",NULL,Enel
35,44.6974299,10.6363127,"Piasa Dal Popol Giost",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Piasa Dal Popol Giost",NULL,Enel
36,44.700365,10.643151,"Piazzale Europa",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Piazzale Europa",NULL,Enel
37,44.6958224,10.637503,"Via Giorgione",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Via Giorgione",NULL,Enel
38,44.761513,10.674442,"Via Guglielmo Marconi",NULL,"Bagnolo In Piano (RE)",,"Bagnolo In Piano (RE)","Via Guglielmo Marconi",NULL,Enel
39,44.6919178,10.6350543,"Via Nobili",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Via Nobili",NULL,Enel
40,44.7404085,10.6025844000001,"Via Alberto Pansa 119PX",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Via Alberto Pansa 119PX",NULL,Enel
41,44.6973043960399,10.6425724100648,"Via Eritrea",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Via Eritrea",NULL,Enel
42,44.7008693842591,10.6320767158692,"Viale Nobili",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Viale Nobili",NULL,Enel
43,44.6998250043043,10.6265352079346,"Piazza Gioberti",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Piazza Gioberti",Enel,Enel
44,44.6951755,10.637203,"Via San Martino",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Via San Martino",Enel,Enel
45,44.6981095342531,10.6310569404754,"Via Vittorio Veneto",NULL,"Reggio Emilia (RE)",,"Reggio Emilia (RE)","Via Vittorio Veneto",Enel,Enel
46,44.0707264,12.5764555000001,"Viale Beccadelli",NULL,"Rimini (RN)",,"Rimini (RN)","Viale Beccadelli",NULL,Enel
